Hikaru ELO,Anonymous GM ELO,Hikaru Score,Anonymous GM Score,Hikaru Biggest Win Streak,Number of 40 Win Streaks
3150,2700,22613.0,2387.0,56,10
3150,2701,22637.5,2362.5,59,17
3150,2702,22553.0,2447.0,56,8
3150,2703,22613.0,2387.0,67,13
3150,2704,22568.0,2432.0,68,10
3150,2705,22585.0,2415.0,54,6
3150,2706,22584.5,2415.5,69,18
3150,2707,22514.5,2485.5,60,14
3150,2708,22556.5,2443.5,78,16
3150,2709,22529.5,2470.5,60,15
3150,2710,22513.5,2486.5,60,12
3150,2711,22479.5,2520.5,51,11
3150,2712,22530.5,2469.5,57,14
3150,2713,22515.0,2485.0,72,17
3150,2714,22417.0,2583.0,52,13
3150,2715,22346.5,2653.5,58,12
3150,2716,22379.5,2620.5,53,4
3150,2717,22383.0,2617.0,52,11
3150,2718,22424.5,2575.5,85,13
3150,2719,22366.5,2633.5,54,11
3150,2720,22366.5,2633.5,57,7
3150,2721,22330.0,2670.0,55,11
3150,2722,22382.5,2617.5,49,10
3150,2723,22305.5,2694.5,54,5
3150,2724,22279.5,2720.5,69,8
3150,2725,22250.0,2750.0,49,6
3150,2726,22288.0,2712.0,52,7
3150,2727,22290.0,2710.0,56,10
3150,2728,22225.0,2775.0,50,6
3150,2729,22282.5,2717.5,53,6
3150,2730,22220.5,2779.5,62,6
3150,2731,22200.5,2799.5,51,7
3150,2732,22154.5,2845.5,44,2
3150,2733,22282.5,2717.5,67,6
3150,2734,22185.5,2814.5,50,6
3150,2735,22178.5,2821.5,58,8
3150,2736,22120.0,2880.0,56,3
3150,2737,22086.5,2913.5,60,5
3150,2738,22152.0,2848.0,47,4
3150,2739,22133.0,2867.0,43,6
3150,2740,22165.5,2834.5,58,5
3150,2741,22055.5,2944.5,55,4
3150,2742,21979.0,3021.0,49,6
3150,2743,22043.5,2956.5,53,8
3150,2744,21984.0,3016.0,49,5
3150,2745,22013.0,2987.0,44,2
3150,2746,21948.5,3051.5,51,3
3150,2747,22001.5,2998.5,45,4
3150,2748,21999.5,3000.5,48,4
3150,2749,21955.5,3044.5,48,4
3150,2750,21954.0,3046.0,53,4
3150,2751,21927.5,3072.5,70,5
3150,2752,21953.0,3047.0,47,6
3150,2753,21860.5,3139.5,47,2
3150,2754,21854.0,3146.0,58,7
3150,2755,21876.0,3124.0,45,2
3150,2756,21846.5,3153.5,57,6
3150,2757,21870.0,3130.0,40,1
3150,2758,21809.5,3190.5,43,2
3150,2759,21836.0,3164.0,54,2
3150,2760,21782.5,3217.5,41,4
3150,2761,21715.5,3284.5,48,3
3150,2762,21814.0,3186.0,47,1
3150,2763,21712.0,3288.0,51,4
3150,2764,21653.0,3347.0,42,1
3150,2765,21816.5,3183.5,45,1
3150,2766,21704.5,3295.5,42,3
3150,2767,21727.5,3272.5,51,2
3150,2768,21749.5,3250.5,48,4
3150,2769,21680.5,3319.5,41,2
3150,2770,21590.5,3409.5,42,2
3150,2771,21546.5,3453.5,36,0
3150,2772,21661.5,3338.5,49,2
3150,2773,21551.5,3448.5,46,2
3150,2774,21560.5,3439.5,40,1
3150,2775,21538.5,3461.5,64,2
3150,2776,21513.0,3487.0,46,1
3150,2777,21544.5,3455.5,46,2
3150,2778,21529.5,3470.5,44,1
3150,2779,21519.0,3481.0,49,1
3150,2780,21523.0,3477.0,38,0
3150,2781,21535.0,3465.0,53,3
3150,2782,21475.5,3524.5,48,1
3150,2783,21396.5,3603.5,52,2
3150,2784,21431.0,3569.0,45,2
3150,2785,21376.0,3624.0,57,1
3150,2786,21438.0,3562.0,45,2
3150,2787,21333.5,3666.5,48,2
